D,avg_yr_l,avg_yr_h,avg_wi,avg_sp,avg_su,avg_fa,IATA,LAT_DEC,LON_DEC,HEIGHT
MDZ,53,74,74,55,52,71,MDZ,-32.832,-68.793,705
YYZ,41,54,27,55,67,40,YYZ,43.677,-79.631,174
LIM,63,73,74,68,63,68,LIM,-12.022,-77.114,35
CIX,66,80,79,73,68,71,CIX,-6.787,-79.828,29
IQT,73,88,80,80,80,81,IQT,-3.785,-73.309,94
BOG,47,65,56,57,55,56,BOG,4.701,-74.147,2549
MDE,63,78,70,71,70,70,MDE,6.164,-75.423,2143
CLO,66,84,75,75,75,74,CLO,3.543,-76.381,964
BAQ,77,88,81,84,83,82,BAQ,10.889,-74.781,30
CCS,66,81,72,75,74,73,CCS,10.603,-66.991,72
MAR,78,91,83,85,86,83,MAR,10.558,-71.728,72
VLN,70,88,80,80,77,79,VLN,10.158,-67.927,431
GIG,71,82,81,75,72,77,GIG,-22.809,-43.244,9
GRU,63,77,75,68,66,72,GRU,-23.432,-46.469,750
FOR,77,86,82,81,81,82,FOR,-3.776,-38.532,25
SJO,64,78,72,72,71,70,SJO,9.994,-84.209,921
MGA,73,90,81,84,82,80,MGA,12.141,-86.168,60
MVD,55,69,71,58,54,66,MVD,-34.838,-56.030,33
SCL,47,73,70,55,52,65,SCL,-33.393,-70.786,474
DAV,74,88,82,82,80,79,DAV,8.391,-82.435,28
